Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Large language models and synthetic health data: progress and prospects","Recent advances in large language models (LLMs) offer new opportunities and risks for synthetic health data generation, with potential to improve clinical discovery, prediction, and operational excellence.","Daniel Smolyak, M. Bjarnadóttir, K. Crowley, Ritu Agarwal",2024,15,"Given substantial obstacles surrounding health data acquisition, high-quality synthetic health data are needed to meet a growing demand for the application of advanced analytics for clinical discovery, prediction, and operational excellence. We highlight how recent advances in large language models (LLMs) present new opportunities for progress, as well as new risks, in synthetic health data generation (SHDG). We synthesized systematic scoping reviews in the SHDG domain, recent LLM methods for SHDG, and papers investigating the capabilities and limits of LLMs. We summarize the current landscape of generative machine learning models (eg, Generative Adversarial Networks) for SHDG, describe remaining challenges and limitations, and identify how recent LLM approaches can potentially help mitigate them. Six research directions are outlined for further investigation of LLMs for SHDG: evaluation metrics, LLM adoption, data efficiency, generalization, health equity, and regulatory challenges. LLMs have already demonstrated both high potential and risks in the health domain, and it is important to study their advantages and disadvantages for SHDG.","systematic review","JAMIA Open","2","10.1093/jamiaopen/ooae114","https://consensus.app/papers/large-language-models-and-synthetic-health-data-progress-smolyak-bjarnad%C3%B3ttir/54448d6759d6509091b1ca91600653f6/"
"Retrieval augmented generation for large language models in healthcare: A systematic review","Retrieval augmented generation (RAG) improves large language models' performance in healthcare by exposing them to external knowledge sources, but more research is needed to address ethical challenges and standardize evaluation frameworks.","L. M. Amugongo, Pietro Mascheroni, Steven Brooks, Stefan Doering, Jan Seidel",2025,60,"Large Language Models (LLMs) have demonstrated promising capabilities to solve complex tasks in critical sectors such as healthcare. However, LLMs are limited by their training data which is often outdated, the tendency to generate inaccurate (""hallucinated"") content and a lack of transparency in the content they generate. To address these limitations, retrieval augmented generation (RAG) grounds the responses of LLMs by exposing them to external knowledge sources. However, in the healthcare domain there is currently a lack of systematic understanding of which datasets, RAG methodologies and evaluation frameworks are available. This review aims to bridge this gap by assessing RAG-based approaches employed by LLMs in healthcare, focusing on the different steps of retrieval, augmentation and generation. Additionally, we identify the limitations, strengths and gaps in the existing literature. Our synthesis shows that 78.9% of studies used English datasets and 21.1% of the datasets are in Chinese. We find that a range of techniques are employed RAG-based LLMs in healthcare, including Naive RAG, Advanced RAG, and Modular RAG. Surprisingly, proprietary models such as GPT-3.5/4 are the most used for RAG applications in healthcare. We find that there is a lack of standardised evaluation frameworks for RAG-based applications. In addition, the majority of the studies do not assess or address ethical considerations related to RAG in healthcare. It is important to account for ethical challenges that are inherent when AI systems are implemented in the clinical setting. Lastly, we highlight the need for further research and development to ensure responsible and effective adoption of RAG in the medical domain.","systematic review","PLOS Digital Health","","10.1371/journal.pdig.0000877","https://consensus.app/papers/retrieval-augmented-generation-for-large-language-models-amugongo-mascheroni/9d1904c2383e5dcc954c87f5ad10a66f/"
"Tool learning with large language models: a survey","Tool learning with large language models (LLMs) offers benefits and a systematic approach to implementing it, but challenges and future directions need further exploration.","Changle Qu, Sunhao Dai, Xiaochi Wei, Hengyi Cai, Shuaiqiang Wang, Dawei Yin, Jun Xu, Jirong Wen",2024,211,"Recently, tool learning with large language models (LLMs) has emerged as a promising paradigm for augmenting the capabilities of LLMs to tackle highly complex problems. Despite growing attention and rapid advancements in this field, the existing literature remains fragmented and lacks systematic organization, posing barriers to entry for newcomers. This gap motivates us to conduct a comprehensive survey of existing works on tool learning with LLMs. In this survey, we focus on reviewing existing literature from the two primary aspects (1) why tool learning is beneficial and (2) how tool learning is implemented, enabling a comprehensive understanding of tool learning with LLMs. We first explore the “why” by reviewing both the benefits of tool integration and the inherent benefits of the tool learning paradigm from six specific aspects. In terms of “how”, we systematically review the literature according to a taxonomy of four key stages in the tool learning workflow: task planning, tool selection, tool calling, and response generation. Additionally, we provide a detailed summary of existing benchmarks and evaluation methods, categorizing them according to their relevance to different stages. Finally, we discuss current challenges and outline potential future directions, aiming to inspire both researchers and industrial developers to further explore this emerging and promising area.","literature review","Frontiers of Computer Science","1","10.1007/s11704-024-40678-2","https://consensus.app/papers/tool-learning-with-large-language-models-a-survey-qu-dai/207c6796b6c05bcd8c5cf14910c73986/"
"Large Language Models(LLMs) on Tabular Data: Prediction, Generation, and Understanding - A Survey","Large Language Models (LLMs) have shown promise in diverse tasks related to tabular data modeling, but a comprehensive review is needed to understand their strengths, limitations, and future research directions.","Xi Fang, Weijie Xu, F. Tan, Jiani Zhang, Ziqing Hu, Yanjun Qi, Scott Nickleach, Diego Socolinsky, Srinivasan H. Sengamedu, Christos Faloutsos",2024,168,"Recent breakthroughs in large language modeling have facilitated rigorous exploration of their application in diverse tasks related to tabular data modeling, such as prediction, tabular data synthesis, question answering, and table understanding. Each task presents unique challenges and opportunities. However, there is currently a lack of comprehensive review that summarizes and compares the key techniques, metrics, datasets, models, and optimization approaches in this research domain. This survey aims to address this gap by consolidating recent progress in these areas, offering a thorough survey and taxonomy of the datasets, metrics, and methodologies utilized. It identifies strengths, limitations, unexplored territories, and gaps in the existing literature, while providing some insights for future research directions in this vital and rapidly evolving field. It also provides relevant code and datasets references. Through this comprehensive review, we hope to provide interested readers with pertinent references and insightful perspectives, empowering them with the necessary tools and knowledge to effectively navigate and address the prevailing challenges in the field.","literature review","ArXiv","","10.48550/arxiv.2402.17944","https://consensus.app/papers/large-language-modelsllms-on-tabular-data-prediction-fang-xu/1b4c1c0b14c25604bf8cb5c96618fa5e/"
"Large Language Models for Cyber Security: A Systematic Literature Review","Large Language Models (LLMs) are increasingly being used in cybersecurity tasks, with autonomous agents playing a significant role in complex, multi-step security workflows.","Hanxiang Xu, Shenao Wang, Ningke Li, Kailong Wang, Yanjie Zhao, Kai Chen, Ting Yu, Yang Liu, Haoyu Wang",2024,111,"The rapid advancement of Large Language Models (LLMs) has opened up new opportunities for leveraging artificial intelligence in a variety of application domains, including cybersecurity. As the volume and sophistication of cyber threats continue to grow, there is an increasing need for intelligent systems that can automatically detect vulnerabilities, analyze malware, and respond to attacks. In this survey, we conduct a comprehensive review of the literature on the application of LLMs in cybersecurity (LLM4Security). By comprehensively collecting over 40K relevant papers and systematically analyzing 185 papers from top security and software engineering venues, we aim to provide a holistic view of how LLMs are being used to solve diverse problems across the cybersecurity domain. Through our analysis, we identify several key findings. First, we observe that LLMs are being applied to an expanding range of cybersecurity tasks, including vulnerability detection, malware analysis, and network intrusion detection. Second, we analyze application trends of different LLM architectures (such as encoder-only, encoder-decoder, and decoder-only) across security domains. Third, we identify increasingly sophisticated techniques for adapting LLMs to cybersecurity, such as advanced fine-tuning, prompt engineering, and external augmentation strategies. A significant emerging trend is the use of LLM-based autonomous agents, which represent a paradigm shift from single-task execution to orchestrating complex, multi-step security workflows. Furthermore, we find that the datasets used for training and evaluating LLMs are often limited, highlighting the need for more comprehensive datasets and the use of LLMs for data augmentation. Finally, we discuss the main challenges and opportunities for future research, including the need for more interpretable models, addressing the inherent security risks of LLMs, and their potential for proactive defense. Overall, our survey provides a comprehensive overview of the current state-of-the-art in LLM4Security and identifies several promising directions for future research. We believe that the insights and findings presented in this survey will contribute to the growing body of knowledge on the application of LLMs in cybersecurity and provide valuable guidance for researchers and practitioners working in this field.","literature review","ACM Transactions on Software Engineering and Methodology","1","10.1145/3769676","https://consensus.app/papers/large-language-models-for-cyber-security-a-systematic-xu-wang/328eccf546eb5299a7ac1531f3955bc4/"
"Large language models in medical and healthcare fields: applications, advances, and challenges","Large language models (LLMs) can enhance medical communication, patient data optimization, and surgical planning, but face challenges like data security, fairness, and accountability.","Dandan Wang, Shiqing Zhang",2024,111,"Large language models (LLMs) are increasingly recognized for their advanced language capabilities, offering significant assistance in diverse areas like medical communication, patient data optimization, and surgical planning. Our survey meticulously searched for papers with keywords such as “medical,” “clinical,” “healthcare,” and “LLMs” across various databases, including ACM and Google Scholar. It sought to delve into the latest trends and applications of LLMs in healthcare, analyzing 175 relevant publications to support both practitioners and researchers in the field. We have compiled 56 experimental datasets, various evaluation methods and reviewed cutting-edge LLMs across tasks. Our comprehensive analysis of LLMs in healthcare applications, including medical question-answering, dialogue summarization, electronic health record generation, scientific research, medical education, medical product safety monitoring, clinical health reasoning, and clinical decision support. Furthermore, we have identified the challenges, including data security, inaccurate information, fairness and bias, plagiarism, copyrights, and accountability, and the potential solutions, namely de-identification framework, references,counterfactually fair prompting,opening and ending control codes, and establishing normative standards,to address these open issues,respectively. The findings of this survey exert a profound impact on spurring innovation in practical applications and addressing inherent challenges within the academic and medical communities.","literature review","Artificial Intelligence Review","1","10.1007/s10462-024-10921-0","https://consensus.app/papers/large-language-models-in-medical-and-healthcare-fields-wang-zhang/9e299c4812ff539494320520bc23246c/"
"A Survey on Large Language Models for Code Generation","Large Language Models (LLMs) have made significant advancements in code generation, but a comprehensive literature review is needed to bridge the gap between academia and practical development.","Juyong Jiang, Fan Wang, Jiasi Shen, Sungju Kim, Sunghun Kim",2024,516,"Large Language Models (LLMs) have garnered remarkable advancements across diverse code-related tasks, known as Code LLMs, particularly in code generation that generates source code with LLM from natural language descriptions. This burgeoning field has captured significant interest from both academic researchers and industry professionals due to its practical significance in software development, e.g., GitHub Copilot. Despite the active exploration of LLMs for a variety of code tasks, either from the perspective of natural language processing (NLP) or software engineering (SE) or both, there is a noticeable absence of a comprehensive and up-to-date literature review dedicated to LLM for code generation. In this survey, we aim to bridge this gap by providing a systematic literature review that serves as a valuable reference for researchers investigating the cutting-edge progress in LLMs for code generation. We introduce a taxonomy to categorize and discuss the recent developments in LLMs for code generation, covering aspects such as data curation, latest advances, performance evaluation, ethical implications, environmental impact, and real-world applications. In addition, we present a historical overview of the evolution of LLMs for code generation and provide a quantitative and qualitative comparative analysis of experimental results of code LLMs, sourced from their original papers to ensure a fair comparison on the HumanEval, MBPP, and BigCodeBench benchmarks, across various levels of difficulty and types of programming tasks, to highlight the progressive enhancements in LLM capabilities for code generation. We identify critical challenges and promising opportunities regarding the gap between academia and practical development. Furthermore, we have established a dedicated resource GitHub page (https://github.com/juyongjiang/CodeLLMSurvey) to continuously document and disseminate the most recent advances in the field.","systematic review","ACM Transactions on Software Engineering and Methodology","1","10.1145/3747588","https://consensus.app/papers/a-survey-on-large-language-models-for-code-generation-jiang-wang/69d8c6bcb7ca5b008e012d0c33ffc614/"
"A Survey on Employing Large Language Models for Text-to-SQL Tasks","Large Language Models (LLMs) can effectively perform Text-to-SQL tasks, with prompt engineering and finetuning being the main methods, but future research should address challenges and future directions.","Liang Shi, Zhengju Tang, Nan Zhang, Xiaotong Zhang, Zhi Yang",2024,81,"With the development of the Large Language Models (LLMs), a large range of LLM-based Text-to-SQL(Text2SQL) methods have emerged. This survey provides a comprehensive review of LLM-based Text2SQL studies. We first enumerate classic benchmarks and evaluation metrics. For the two mainstream methods, prompt engineering and finetuning, we introduce a comprehensive taxonomy and offer practical insights into each subcategory. We present an overall analysis of the above methods and various models evaluated on well-known datasets and extract some characteristics. Finally, we discuss the challenges and future directions in this field.","literature review","ACM Computing Surveys","1","10.1145/3737873","https://consensus.app/papers/a-survey-on-employing-large-language-models-for-texttosql-shi-tang/c6a2ec8e4e5e5d5da87d697f5bdf3ee4/"
"Agentic Large Language Models, a survey","Agentic LLMs improve decision-making, act as useful assistants, and enhance scientific research, with applications in medical diagnosis, logistics, and financial market analysis.","A. Plaat, M. V. Duijn, N. V. Stein, Mike Preuss, P. V. D. Putten, K. Batenburg",2025,50,"Background: There is great interest in agentic LLMs, large language models that act as agents.
Objectives: We review the growing body of work in this area and provide a research agenda.
Methods: Agentic LLMs are LLMs that (1) reason, (2) act, and (3) interact. We organize the literature according to these three categories.
Results: The research in the first category focuses on reasoning, reflection, and retrieval, aiming to improve decision making; the second category focuses on action models, robots, and tools, aiming for agents that act as useful assistants; the third category focuses on multi-agent systems, aiming for collaborative task solving and simulating interaction to study emergent social behavior. We find that works mutually benefit from results in other categories: retrieval enables tool use, reflection improves multi-agent collaboration, and reasoning benefits all categories.
Conclusions: We discuss applications of agentic LLMs and provide an agenda for further research. Important applications are in medical diagnosis, logistics and financial market analysis. Meanwhile, self-reflective agents playing roles and interacting with one another augment the process of scientific research itself. Further, agentic LLMs provide a solution for the problem of LLMs running out of training data: inference-time behavior generates new training states, such that LLMs can keep learning without needing ever larger datasets. We note that there is risk associated with LLM assistants taking action in the real world—safety, liability and security are open problems—while agentic LLMs are also likely to benefit society.","literature review","ArXiv","1","10.1613/jair.1.18675","https://consensus.app/papers/agentic-large-language-models-a-survey-plaat-duijn/0c27e8dd7f6f5b99bd83023836deca6a/"
"A framework for human evaluation of large language models in healthcare derived from literature review","QUEST is a comprehensive framework for human evaluation of large language models in healthcare, addressing gaps in reliability, generalizability, and applicability.","Thomas Yu Chow Tam, Sonish Sivarajkumar, S. Kapoor, Alisa V. Stolyar, Katelyn Polanska, Karleigh R. McCarthy, Hunter Osterhoudt, Xizhi Wu, Shyam Visweswaran, S. Fu, Piyush Mathur, Giovanni E. Cacciamani, Cong Sun, Yifan Peng, Yanshan Wang",2024,157,"With generative artificial intelligence (GenAI), particularly large language models (LLMs), continuing to make inroads in healthcare, assessing LLMs with human evaluations is essential to assuring safety and effectiveness. This study reviews existing literature on human evaluation methodologies for LLMs in healthcare across various medical specialties and addresses factors such as evaluation dimensions, sample types and sizes, selection, and recruitment of evaluators, frameworks and metrics, evaluation process, and statistical analysis type. Our literature review of 142 studies shows gaps in reliability, generalizability, and applicability of current human evaluation practices. To overcome such significant obstacles to healthcare LLM developments and deployments, we propose QUEST, a comprehensive and practical framework for human evaluation of LLMs covering three phases of workflow: Planning, Implementation and Adjudication, and Scoring and Review. QUEST is designed with five proposed evaluation principles: Quality of Information, Understanding and Reasoning, Expression Style and Persona, Safety and Harm, and Trust and Confidence.","literature review","NPJ Digital Medicine","1","10.1038/s41746-024-01258-7","https://consensus.app/papers/a-framework-for-human-evaluation-of-large-language-models-tam-sivarajkumar/c85d7506f70c559fa6a1da4bb073dea6/"
